job.name,scen.name,rep.name,rep.methods,model,coef_of_interest,N,imp_m,imp_maxit,mice_method,dag_name,method,bhat,bhat_lo,bhat_hi,bhat_width,overall.error,beta,form_string,gold_form_string,sancheck.prop_complete,sancheck.di_ours.vars
job_1,1,9,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.090930493056386,-0.279799531462303,0.0979385453495313,0.377738076811835,,0,A ~ 1,A1 ~ 1,0.514,C A
job_1,1,9,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.0963286428341467,-0.338028561228676,0.145371275560383,0.483399836789059,,0,A ~ 1,A1 ~ 1,0.514,C A
job_1,1,10,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0336671270159347,-0.170906204384105,0.103571950352236,0.27447815473634,,0,A ~ 1,A1 ~ 1,0.462,C A
job_1,1,10,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.0502600871700682,-0.187959043498039,0.288479217838176,0.476438261336215,,0,A ~ 1,A1 ~ 1,0.462,C A
job_1,1,10,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.0447367351210243,-0.143500711419126,0.232974181661174,0.3764748930803,,0,A ~ 1,A1 ~ 1,0.462,C A
job_1,1,11,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0034070743600635,-0.142023994837522,0.135209846117395,0.277233840954917,,0,A ~ 1,A1 ~ 1,0.486,C A
job_1,1,11,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.0540119763121218,-0.281549474837896,0.173525522213653,0.455074997051549,,0,A ~ 1,A1 ~ 1,0.486,C A
job_1,1,11,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.0626940377606295,-0.225217634250045,0.0998295587287862,0.325047192978832,,0,A ~ 1,A1 ~ 1,0.486,C A
job_1,1,12,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0293725828689252,-0.166403577008859,0.107658411271009,0.274061988279868,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,12,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.0717225820925069,-0.326023513126797,0.182578348941783,0.508601862068579,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,12,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.0952182056276667,-0.247690709691472,0.0572542984361383,0.30494500812761,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,13,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.00752073051822277,-0.133294060524867,0.148335521561313,0.28162958208618,,0,A ~ 1,A1 ~ 1,0.468,C A
